rain,showers,snowfall,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_speed_80m,wind_gusts_10m,wind_direction_10m,wind_direction_80m
0.0,0.0,0.0,-5.1,64.0,17.6,,26.6,301.0,
0.0,0.0,0.0,8.0,60.0,24.8,,42.8,311.0,
0.0,0.0,0.0,8.0,60.0,24.8,,42.8,311.0,
0.0,0.0,0.0,-4.9,64.0,17.8,,27.4,302.0,
0.0,0.0,0.0,-5.1,64.0,17.6,,26.6,301.0,
0.0,0.0,0.0,-4.9,64.0,17.8,,27.4,302.0,
0.0,0.0,0.0,-4.9,64.0,17.8,,27.4,302.0,
0.0,0.0,0.0,-4.9,64.0,17.8,,27.4,302.0,
0.0,0.0,0.0,8.0,60.0,24.8,,42.8,311.0,
0.0,0.0,0.0,-4.9,64.0,17.8,,27.4,302.0,
0.0,0.0,0.0,-4.9,64.0,17.8,,27.4,302.0,
0.0,0.0,0.0,8.0,60.0,24.8,,42.8,311.0,
0.0,0.0,0.0,8.0,60.0,24.8,,42.8,311.0,
0.0,0.0,0.0,8.0,60.0,24.8,,42.8,311.0,
0.0,0.0,0.0,8.0,60.0,24.8,,42.8,311.0,
